speaker,episode,sheet,context,english,utterer_key
{$NewName},E3,E3_Mine1FOpening_localization,,What if I just want... to play?,SAY.Dialog:ScavengersReturn.106.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,Wahoo!,SAY.Dialog:ScavengersReturn.15.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,"Tell me about your adventures, Uncle Kick!",SAY.Dialog:ScavengersReturn.30.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,Really? Wahoo!,SAY.Dialog:ScavengersReturn.80.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Said after playing Rocks.,I love love LOVE Rocks!,SAY.Dialog:PostRocks.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Variation 1. 
If the Foal hasn't talked to Nice and Sad.",Maybe Aunty Nice wants to watch me play!,SAY.Dialog:PostRocks.8.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Variation 2.
If the Foal has talked to Nice and Sad.",Maybe Uncle Thirsty wants to watch me play!,SAY.Dialog:PostRocks.16.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Interactable object (wall), the scoreboard.",My high score for Rocks today is {$Number}.,SAY.Dialog:PongHighScore.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.,Cool. This rock looks different! I'm gonna keep it!,SAY.Dialog:AlternativeRock.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.,"Wow, what a hard rock! I'm gonna keep it.",SAY.Dialog:HardRock.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.,"Wow, what a classic rock! This one might be my favourite!",SAY.Dialog:ClassicRock.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.

This object is also the wheel for the minecart, needed to break the wall to the next area.",This is a weird looking rock...,SAY.Dialog:MineCartWheel.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"The Foal says this to herself if she interacts with the wall and she doesn't have the wheel,",It's all boarded up.,SAY.Dialog:TooDarkExit.9.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"The Foal says this to herself if she interacts with the mine cart and she doesn't have the wheel,",It's missing one of those round things...,SAY.Dialog:Wheel-NoWheel.4.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when she successfully brings the wheel object to the cart. It can now be pushed into the wall.,Cool! It fits perfectly!,SAY.Dialog:Wheel-NoWheel.21.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,"Do you want to watch me play Rocks, Uncle Sad?",SAY.Dialog:NiceSad_Public.79.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Why not?,SAY.Dialog:NiceSad_Public.13.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,I think we're alive to live in the present and do what brings us joy.,SAY.Dialog:NiceSad_Public.82.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Jump to line 25.,"If what we're doing doesn't bring us joy, maybe we should do something different!",SAY.Dialog:NiceSad_Public.107.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Jump to line 25.,Comrade Mother says we're alive to honour the legacy of our Ancestors through hard Work.,SAY.Dialog:NiceSad_Public.83.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation with Sad and Nice, while Foal is inside the tunnels.",Someone's whispering...,SAY.Dialog:TunnelNiceSadPrivate.22.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Do you want to watch me play Rocks?,SAY.Dialog:ThirstyBig_Public.81.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,"Boulders can't stop water, can they?",SAY.Dialog:ThirstyBig_Public.84.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Isn't there a better way to move a boulder?,SAY.Dialog:ThirstyBig_Public.87.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,But why don't you make a system that would lift one side up when you put enough weight on the other side?,SAY.Dialog:ThirstyBig_Public.95.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,You could make it fun too!,SAY.Dialog:ThirstyBig_Public.96.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation with Big and Thirsty, while Foal is inside the tunnels.",What's that heavy breathing?,SAY.Dialog:TunnelBigThirstyPrivate.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Public conversation with Sick, Kick, and Hard.","Uncle Kick, Uncle Hard, do you want to watch me play Rocks?",SAY.Dialog:HardKick_Public.13.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,What's wrong with her?,SAY.Dialog:HardKick_Public.75.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Is that what happened to your ear?,SAY.Dialog:HardKick_Public.100.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Jump to line 99, 101, or 103.",What happened next?,SAY.Dialog:HardKick_Public.33.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Jump to line 99, 101, or 103.",Oh right. I've heard this story before.,SAY.Dialog:HardKick_Public.62.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation between Hard and Kick, while Foal is inside the tunnels.",It sounds like someone's in pain...,SAY.Dialog:TunnelHardKickPrivate.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Conversation with Slow Ass.,"Will you watch me play Rocks, Uncle Slow?",SAY.Dialog:Slow.10.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Really?,SAY.Dialog:SturdySmart_Public.18.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation between Sturdy and Smart, while Foal is inside the tunnels.",Are Comrade Mother and Aunty Smart arguing?,SAY.Dialog:TunnelSturdySmartPrivate.23.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Dialogue at end of scene.,Whoa.,SAY.Dialog:MineCartRunsAway.9.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Huh?,SAY.Dialog:EnableLight.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Player can now exit to the next area.,Hey a light? That's never happened before...,SAY.Dialog:EnableLight.7.{$NewName}
{$NewName},E3,E3_100_localization,The Foal attempts to touch the Elevator.,Comrade Mother told me not to touch the Machines...,SAY.Dialog:Lift100.1.{$NewName}
{$NewName},E3,E3_100_localization,The Foal attempts to touch the Elevator.,I shouldn't touch the Machines... but what does it do?,SAY.Dialog:Lift200.1.{$NewName}
{$NewName},E3,E3_100_localization,The Foal attempts to walk back to the Mine 1F.,"Nah, I don't want to go back yet.",SAY.Dialog:I don't want to go back yet.1.{$NewName}
{$NewName},E3,E3_100_localization,The Foal says this after closing the newpaper.,Booooorrrrrring!,SAY.Dialog:Boring.1.{$NewName}
{$NewName},E3,E3_100_localization,The floor collapses and the Foal falls through to Lazy's Grave.,AH!,SAY.Dialog:Boring.6.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Who's there?,SAY.Dialog:MeetingLazy.30.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,LAZY?! I've heard so much about you!,SAY.Dialog:MeetingLazy.33.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,(I'm your sister),I’m your... wait...,SAY.Dialog:MeetingLazy.55.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,(Aren't you dead?),Aren't you...,SAY.Dialog:MeetingLazy.56.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Wait up!,SAY.Dialog:MeetingLazy.35.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,Lazy floats away and the Foal chases after her.,I’m your sister!,SAY.Dialog:MeetingLazy.58.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,The Foal comes across a pile of bones.,Are these... bones?,SAY.Dialog:ExamineBones.1.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Woah. Did it hurt?,SAY.Dialog:ExamineBones.38.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Why didn't your Ass Soul go to the Astral Plane?,SAY.Dialog:ExamineBones.51.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Comrade Mother told me that's where we all go when we die.,SAY.Dialog:ExamineBones.88.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,I could try to sing the Song of Ascension for you now!,SAY.Dialog:ExamineBones.87.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,There's no way out?! I don't want to die here!,SAY.Dialog:ExamineBones.41.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,The Foal chases after her.,Wha-wait! Come back!!,SAY.Dialog:ExamineBones.82.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,"It was really nice to finally meet you, sister.",SAY.Dialog:Leaving.91.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,"What do you mean "" Boredom is Freedom""?",SAY.Dialog:Leaving.96.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,No. It was {$Number} seconds of my life I'll never get back.,SAY.Dialog:Leaving.95.{$NewName}
{$NewName},E3,E3_200_localization,This dialogue is said as the Foal looks at a picture of the Mine Asses.,Everyone looks so serious.,SAY.Dialog:FamilyPhoto.1.{$NewName}
{$NewName},E3,E3_200_localization,The Foal headbutts and turns the Boring Machine on.,Cool!,SAY.Dialog:StartMachine.3.{$NewName}
{$NewName},E3,E3_200_localization,The Boring Machine starts moving and drilling through walls.,Uh oh!,SAY.Dialog:StartMachine.5.{$NewName}
{$NewName},E3,E3_300_localization,The Foal spots the Elevator from across a chasm.,Hey! That looks like a shortcut!,SAY.Dialog:ElevatorSpotted.2.{$NewName}
{$NewName},E3,E3_300_localization,The Foal stands in front of the Elevator and considers using it.,Well the other two Machines weren't that bad...,SAY.Dialog:CantBeThatBad.2.{$NewName}
{$NewName},E3,E3_300_localization,"Dialogue option 1.1.
If the Foal uses the Elevator to get to the bottom of the Mine.
The Foal can now go through the entrance to the Bad Cave at the bottom of the Mine.",That was fun!,SAY.Dialog:ThatWasFun.1.{$NewName}
{$NewName},E3,E3_300_localization,"Dialogue option 1.2.
If the Foal does NOT use the Elevator to get to the bottom of the Mine.
The Foal can now go through the entrance to the Bad Cave at the bottom of the Mine.",Oh well. I'll just take the long way!,SAY.Dialog:LongWay.3.{$NewName}
{$NewName},E3,E3_BadCave_localization,Go to line 7,Who's there? Quit hiding!,SAY.Dialog:PreDonkeyBas.126.{$NewName}
{$NewName},E3,E3_BadCave_localization,Go to line 7,Lazy? Is that you?,SAY.Dialog:PreDonkeyBas.127.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Uncle Bad Ass?!,SAY.Dialog:PreDonkeyBas.26.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Is this where you've been?,SAY.Dialog:PreDonkeyBas.28.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"Wait, what are all these Machines?",SAY.Dialog:PreDonkeyBas.27.{$NewName}
{$NewName},E3,E3_BadCave_localization,,WAIT!!,SAY.Dialog:PreDonkeyBas.83.{$NewName}
{$NewName},E3,E3_BadCave_localization,,ARE YOU ON FIRE?,SAY.Dialog:PreDonkeyBas.84.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Where did they come from?,SAY.Dialog:PreDonkeyBas.30.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Comrade Mother always says Machines are evil...,SAY.Dialog:PreDonkeyBas.33.{$NewName}
{$NewName},E3,E3_BadCave_localization,,But I'm not so sure.,SAY.Dialog:PreDonkeyBas.87.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Woah...,SAY.Dialog:PreDonkeyBas.41.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"So what can Computers do, if you... know how to use them?",SAY.Dialog:PreDonkeyBas.57.{$NewName}
{$NewName},E3,E3_BadCave_localization,,GAMES!,SAY.Dialog:PreDonkeyBas.60.{$NewName}
{$NewName},E3,E3_BadCave_localization,,I love love LOVE games!,SAY.Dialog:PreDonkeyBas.93.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Can we play together?,SAY.Dialog:PreDonkeyBas.61.{$NewName}
{$NewName},E3,E3_BadCave_localization,We are back in the Bad Caves and the Foal and Bad Ass are talking.,That was WAY BETTER THAN ROCKS!,SAY.Dialog:PostDonkeyBas.25.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Machines are FUN!,SAY.Dialog:PostDonkeyBas.88.{$NewName}
{$NewName},E3,E3_BadCave_localization,,What other GAMES CAN WE PLAY?!,SAY.Dialog:PostDonkeyBas.87.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Why is the Herd afraid of Machines?,SAY.Dialog:PostDonkeyBas.38.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"So... Is that why you don't spend more time with the Herd, Uncle Bad Ass?",SAY.Dialog:PostDonkeyBas.92.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"Well, I'm not an Ass, I'm a Foal!",SAY.Dialog:PostDonkeyBas.36.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Can I... stay down here with you?,SAY.Dialog:PostDonkeyBas.93.{$NewName}
{$NewName},E6,E6_BattleHard_localization,NPC Dialogue on entrance to the fight.,"Uncle Hard, everyone says you're a two-faced liar!",SAY.DialogMaster.44.{$NewName}
{$NewName},E6,E6_World_localization,,Hi Uncle Hard! How many Humans have you killed today?,SAY.Dialog:PostNightmare.20.{$NewName}
{$NewName},E6,E6_World_localization,,Ugh! It's just a QUESTION.,SAY.Dialog:PostNightmare.25.{$NewName}
{$NewName},E6,E6_World_localization,,Yeesh.,SAY.Dialog:PostNightmare.26.{$NewName}
{$NewName},E6,E6_World_localization,,"Uncle Hard, Comrade Mother and I are spending 'quality time' together, wanna come?",SAY.Dialog:PostNightmare.27.{$NewName}
{$NewName},E6,E6_World_localization,,When will Aunty Smart and the others decide to come home?,SAY.Dialog:PostNightmare.67.{$NewName}
{$NewName},E6,E6_World_localization,,...,SAY.Dialog:PostNightmare.76.{$NewName}
{$NewName},E6,E6_World_localization,,Can we head back to the Old Village now?,SAY.Dialog:PostNightmare.77.{$NewName}
{$NewName},E6,E6_World_localization,"After this line, the Foal and Sturdy explore the map in search of the Theatre.",You promised to show me where the Old Theatre is.,SAY.Dialog:PostNightmare.78.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,"Let's go, let's go, let's go!",SAY.Dialog:FoalFollow.26.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,Is this what it was like on the day of the protest?,SAY.Dialog:FoalFollow.27.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,The sun is so bright!,SAY.Dialog:FoalFollow.28.{$NewName}
{$NewName},E6,E6_World_localization,,It's a good thing I have my helmet.,SAY.Dialog:FoalFollow.30.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,WAHOO! There are so many cool rocks out here!,SAY.Dialog:FoalFollow.29.{$NewName}
{$NewName},E6,E6_World_localization,,"Ugh. Whatever, Comrade Mother.",SAY.Dialog:ShortWayLongWay.57.{$NewName}
{$NewName},E6,E6_World_localization,"After this, Sturdy chooses which way to go.","I don't care which way we go, as long we get to the Old Village!",SAY.Dialog:ShortWayLongWay.58.{$NewName}
{$NewName},E6,E6_World_localization,,—which one's the 'Theatre'?,SAY.Dialog:SturdyArrivesAtVillage.398.{$NewName}
{$NewName},E6,E6_World_localization,,Everyone is interested in Theatre!,SAY.Dialog:SturdyArrivesAtVillage.400.{$NewName}
{$NewName},E6,E6_World_localization,,—which one's the 'Theatre'?,SAY.Dialog:SturdyArrivesAtVillage.420.{$NewName}
{$NewName},E6,E6_World_localization,,Everyone is interested in Theatre!,SAY.Dialog:SturdyArrivesAtVillage.422.{$NewName}
{$NewName},E6,E6_World_localization,Dialogue that plays when Sturdy tries to backtrack / leave Bumpkin too early.,Mother! Where are you going?!,SAY.Dialog:AttemptToBacktrack_STARTOFF.4.{$NewName}
{$NewName},E6,E6_World_localization,,You promised to show me the Theatre!,SAY.Dialog:AttemptToBacktrack_STARTOFF.5.{$NewName}
{$NewName},E6,E6_World_localization,,Huh? You never told me that.,SAY.Dialog:EnterTheTheatre.6.{$NewName}
{$NewName},E6,E6_World_localization,,Can I go inside?,SAY.Dialog:EnterTheTheatre.50.{$NewName}
{$NewName},E6,E6_World_localization,,I can totally fit and I'll be super safe.,SAY.Dialog:EnterTheTheatre.113.{$NewName}
{$NewName},E6,E6_World_localization,,I just want to look inside.,SAY.Dialog:EnterTheTheatre.117.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x or y.,Please?,SAY.Dialog:EnterTheTheatre.121.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x or y.,—WAHOO! You're the best!,SAY.Dialog:EnterTheTheatre.81.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line y.,Pleeeeeaaaaaaaaase?,SAY.Dialog:EnterTheTheatre.56.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x.,I'm FINE MOTHER!,SAY.Dialog:EnterTheTheatre.103.{$NewName}
{$NewName},E6,E6_World_localization,"Dialogue options (2.1 and 2.2) converge. 
The Foal exits the Theatre.",Told ya I'd be safe!,SAY.Dialog:EnterTheTheatre.78.{$NewName}
{$NewName},E6,E6_World_localization,,Ohh... I just remembered I promised Uncle Bad Ass we'd play Rocks!,SAY.Dialog:EnterTheTheatre.79.{$NewName}
{$NewName},E6,E6_World_localization,,I gotta go.,SAY.Dialog:EnterTheTheatre.90.{$NewName}
{$NewName},E6,E6_World_localization,The Foal runs away and exits the scene.,"Love you, bye!",SAY.Dialog:EnterTheTheatre.91.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x or y.,COME ON!,SAY.Dialog:EnterTheTheatre.59.{$NewName}
{$NewName},E6,E6_World_localization,,UGH YOU NEVER LET ME DO ANYTHING FUN!,SAY.Dialog:EnterTheTheatre.62.{$NewName}
{$NewName},E6,E6_World_localization,The Foal runs away and exits the scene. Jump back to line z.,I'M OUTTA HERE.,SAY.Dialog:EnterTheTheatre.123.{$NewName}
{$NewName},E6,E6_MineLift_localization,This is said if Sturdy didn't let the Foal go into the Theatre and she didn't get the light.,Stupid Comrade Mother not letting me go in the stupid Theatre.,SAY.Dialog:MineMonologue.1.{$NewName}
{$NewName},E6,E6_MineLift_localization,This is said if Sturdy didn't let the Foal go into the Theatre and she didn't get the light.,Uncle Bad Ass is going to be so disappointed in me that I didn't get the super important light he wanted.,SAY.Dialog:MineMonologue.5.{$NewName}
{$NewName},E6,E6_MineLift_localization,This is said if Sturdy didn't let the Foal go into the Theatre and she didn't get the light.,I gotta find something to replace that super important light he needs...,SAY.Dialog:GottaFindTheThingy.2.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Comrade Mother wouldn't leave...,SAY.Dialog:PreComputer.7.{$NewName}
{$NewName},E6,E6_BadCave_localization,,She kept talking about how she used to be a star.,SAY.Dialog:PreComputer.34.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Yessir! I had to crawl through the broken doorway and climb through the rubble—,SAY.Dialog:PreComputer.10.{$NewName}
{$NewName},E6,E6_BadCave_localization,Dialogue 1.1. The Foal went into the Theatre and has the Light.,You bet!,SAY.Dialog:PreComputer.14.{$NewName}
{$NewName},E6,E6_BadCave_localization,Dialogue 1.2. The Foal didn't go into the Theatre and doesn't have the Light.,OF COURSE I DO...,SAY.Dialog:PreComputer.23.{$NewName}
{$NewName},E6,E6_BadCave_localization,The Foal screws the Light into the Machine.,Phew! It works!,SAY.Dialog:Dongle.32.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Why does the Mystery-Machine need this super important light from the Theatre??,SAY.Dialog:Dongle.18.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Hey Uncle Bad Ass...,SAY.Dialog:Dongle.72.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Are you going to tell me what the Mystery-Machine is for?,SAY.Dialog:Dongle.112.{$NewName}
{$NewName},E6,E6_BadCave_localization,,...I feel weird lying to Comrade Mother.,SAY.Dialog:Dongle.97.{$NewName}
{$NewName},E6,E6_BadCave_localization,,She still thinks we are playing 'Rocks' down here everyday...,SAY.Dialog:Dongle.114.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Hey Uncle Bad Ass...,SAY.Dialog:Dongle.39.{$NewName}
{$NewName},E6,E6_BadCave_localization,,...what were your parents like?,SAY.Dialog:Dongle.100.{$NewName}
{$NewName},E6,E6_BadCave_localization,,...woah.,SAY.Dialog:Dongle.42.{$NewName}
{$NewName},E6,E6_BadCave_localization,,...your Mother abandoned you?,SAY.Dialog:Dongle.75.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Where would you go?,SAY.Dialog:Dongle.118.{$NewName}
{$NewName},E6,E6_BadCave_localization,,What's wrong with here?,SAY.Dialog:Dongle.126.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Uncle Bad Ass?,SAY.Dialog:BadTransformation.2.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Uncle Bad—Cole... is being a donkey such a terrible thing?,SAY.Dialog:BadTransformation.11.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Are you going to Mecha City now...?,SAY.Dialog:BadTransformation.21.{$NewName}
{$NewName},E9,E9_BadCave_localization,,But I want to see Mecha City too! We can go together!,SAY.Dialog:BadTransformation.630.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Then... can I become a Machine too?,SAY.Dialog:BadTransformation.551.{$NewName}
{$NewName},E9,E9_BadCave_localization,,We can play games during our breaks.,SAY.Dialog:BadTransformation.614.{$NewName}
{$NewName},E9,E9_BadCave_localization,,We can invent new Machines!,SAY.Dialog:BadTransformation.617.{$NewName}
{$NewName},E9,E9_BadCave_localization,,We can make the world a better place for Asses!,SAY.Dialog:BadTransformation.620.{$NewName}
{$NewName},E9,E9_BadCave_localization,,REALLY?! WAHOO!,SAY.Dialog:BadTransformation.600.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Comrade Mother?!,SAY.Dialog:BadTransformation.338.{$NewName}
{$NewName},E9,E9_BadCave_localization,,"Don't worry Comrade Mother, this IS Uncle Bad—Cole.",SAY.Dialog:BadTransformation.36.{$NewName}
{$NewName},E9,E9_BadCave_localization,,No! I'm going to become a Machine like Uncle Bad—Cole!,SAY.Dialog:BadTransformation.40.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Because that's WHO HE IS.,SAY.Dialog:BadTransformation.43.{$NewName}
{$NewName},E9,E9_BadCave_localization,,"Mother, listen to me.",SAY.Dialog:BadTransformation.658.{$NewName}
{$NewName},E9,E9_BadCave_localization,,I'm tired of you always looking over my shoulder and telling me what to do!,SAY.Dialog:BadTransformation.44.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Uncle Bad—Cole has taught me the truth of how the world works.,SAY.Dialog:BadTransformation.45.{$NewName}
{$NewName},E9,E9_BadCave_localization,,That it's NOT FUN for Asses!,SAY.Dialog:BadTransformation.47.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Give me one good reason why a Foal like me should want to grow up to be an Ass in this world?,SAY.Dialog:BadTransformation.49.{$NewName}
{$NewName},E9,E9_BadCave_localization,,"No, it's just how I was BORN.",SAY.Dialog:BadTransformation.52.{$NewName}
{$NewName},E9,E9_BadCave_localization,,"Let's do it, Uncle Bad—Cole!",SAY.Dialog:BadTransformation.241.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Let me go!!,SAY.Dialog:BadTransformation.242.{$NewName}
{$NewName},E9,E9_BadCave_localization,,Hit it!!,SAY.Dialog:BadTransformation.55.{$NewName}
{$NewName},E9,E9_BadCave_localization,,COOOOOOOOL!,SAY.Dialog:BadTransformation.197.{$NewName}
{$NewName},E9,E9_BadCave_localization,The sound of the Gods is heard,What's that sound—?,SAY.Dialog:BadTransformation.666.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,Comrade Mother!,SAY.Dialog:StageZero.13.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,Comrade Mother!,SAY.Dialog:StageThree.6.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,I'm not going to let you go!,SAY.Dialog:StageThree.8.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,"Let's go, let's go, let's go!",SAY.Dialog:StageFour.90.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,Mother?,SAY.Dialog:StageFour.81.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,I'm not evil! I'm your daughter!,SAY.Dialog:StageFour.54.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,Mother! LOOK AT ME!,SAY.Dialog:StageFour.75.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,I'm not giving up. I'm growing up.,SAY.Dialog:StageFour.88.{$NewName}
{$NewName},E9,E9_MineEscape_localization,,I'm not like the others in the Herd.,SAY.Dialog:StageFour.125.{$NewName}
