speaker,episode,sheet,context,english,dutch,utterer_key
{$NewName},E3,E3_Mine1FOpening_localization,,I'M BORED.,'K VERVEEL MIJ DOOD.,SAY.Dialog:ScavengersReturn.114.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,Is work...really thaaaaaaat great?,Is werken... echt zooooooo geweldig?,SAY.Dialog:ScavengersReturn.99.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,But Comrade Mother...,Maar Kameraad Moeder...,SAY.Dialog:ScavengersReturn.103.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,What if I don't want to work...?,Wat als ik niet wil werken...?,SAY.Dialog:ScavengersReturn.105.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,What if I want to jump around and explore?,Wat als ik wil rondspringen en ontdekken?,SAY.Dialog:ScavengersReturn.107.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,What if I just want... to play?,Wat als ik gewoon... wil spelen?,SAY.Dialog:ScavengersReturn.106.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,Wahoo!,Joepie!,SAY.Dialog:ScavengersReturn.15.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,"Tell me about your adventures, Uncle Kick!","Vertel mij over uw avonturen, Nonkel Hoef!",SAY.Dialog:ScavengersReturn.30.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,Really? Wahoo!,Echt? Joepie!,SAY.Dialog:ScavengersReturn.80.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Said after playing Rocks.,I love love LOVE Rocks!,Ik hou hou HOU van Keien!,SAY.Dialog:PostRocks.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Variation 1. 
If the Foal hasn't talked to Nice and Sad.",Maybe Aunty Nice wants to watch me play!,Misschien wil Tante Schoontje wel komen kijken!,SAY.Dialog:PostRocks.8.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Variation 2.
If the Foal has talked to Nice and Sad.",Maybe Uncle Thirsty wants to watch me play!,Misschien wil Nonkel Dorst wel meekijken!,SAY.Dialog:PostRocks.16.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Interactable object (wall), the scoreboard.",My high score for Rocks today is {$Number}.,Mijn hoogste score vandaag is {$Number}.,SAY.Dialog:PongHighScore.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.,Cool. This rock looks different! I'm gonna keep it!,Wauw! Deze kei ziet er kei-cool uit! Die hou ik bij!,SAY.Dialog:AlternativeRock.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.,"Wow, what a hard rock! I'm gonna keep it.",Amai! Da’s een harde kei! Die steek ik bij!,SAY.Dialog:HardRock.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.,"Wow, what a classic rock! This one might be my favourite!",Wauw! Wat een klassieker! Da’s misschien mijn favoriet!,SAY.Dialog:ClassicRock.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"The Foal says this to herself when finding one of the Rocks that allow her to play a variation of Rocks.

This object is also the wheel for the minecart, needed to break the wall to the next area.",This is a weird looking rock...,Da’s een raar uitziende kei…,SAY.Dialog:MineCartWheel.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"The Foal says this to herself if she interacts with the wall and she doesn't have the wheel,",It's all boarded up.,Alles is dichtgetimmerd.,SAY.Dialog:TooDarkExit.9.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"The Foal says this to herself if she interacts with the mine cart and she doesn't have the wheel,",It's missing one of those round things...,Er ontbreekt zo’n rond ding…,SAY.Dialog:Wheel-NoWheel.4.{$NewName}
{$NewName},E3,E3_Mine1F_localization,The Foal says this to herself when she successfully brings the wheel object to the cart. It can now be pushed into the wall.,Cool! It fits perfectly!,Joepie! ’t Past perfect!,SAY.Dialog:Wheel-NoWheel.21.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,"Do you want to watch me play Rocks, Uncle Sad?","Wil je kijken naar mijn Stenen-spel, Nonkel Triestigaard?",SAY.Dialog:NiceSad_Public.79.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Why not?,Waarom niet?,SAY.Dialog:NiceSad_Public.13.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,I think we're alive to live in the present and do what brings us joy.,Ik denk dat we leven om nu plezier te maken en te doen waar we blij van worden.,SAY.Dialog:NiceSad_Public.82.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Jump to line 25.,"If what we're doing doesn't bring us joy, maybe we should do something different!","Als wat we doen ons geen vreugde brengt, moeten we misschien iets anders doen!",SAY.Dialog:NiceSad_Public.107.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Jump to line 25.,Comrade Mother says we're alive to honour the legacy of our Ancestors through hard Work.,Kameraad-Moeder zegt dat we leven om de erfenis van onze Voorouders te eren met hard Werk.,SAY.Dialog:NiceSad_Public.83.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation with Sad and Nice, while Foal is inside the tunnels.",Someone's whispering...,Iemand is aan ’t fluisteren...,SAY.Dialog:TunnelNiceSadPrivate.22.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Do you want to watch me play Rocks?,Wil je kijken naar mijn Stenen-spel?,SAY.Dialog:ThirstyBig_Public.81.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,"Boulders can't stop water, can they?","Rotsblokken kunnen water niet stoppen, hè?",SAY.Dialog:ThirstyBig_Public.84.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Isn't there a better way to move a boulder?,Is er geen betere manier om zo’n kei te verleggen?,SAY.Dialog:ThirstyBig_Public.87.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,But why don't you make a system that would lift one side up when you put enough weight on the other side?,Maar waarom maakt ge geen systeem dat één kant opheft als ge gewicht op de andere zet?,SAY.Dialog:ThirstyBig_Public.95.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,You could make it fun too!,Ge kunt het zelfs plezant maken!,SAY.Dialog:ThirstyBig_Public.96.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation with Big and Thirsty, while Foal is inside the tunnels.",What's that heavy breathing?,Wat is dat zwaar gehijg?,SAY.Dialog:TunnelBigThirstyPrivate.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Public conversation with Sick, Kick, and Hard.","Uncle Kick, Uncle Hard, do you want to watch me play Rocks?","Nonkel Hoef, Nonkel Stoer, willen jullie kijken naar mijn Stenen-spel?",SAY.Dialog:HardKick_Public.13.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,What's wrong with her?,Wat scheelt er met haar?,SAY.Dialog:HardKick_Public.75.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Is that what happened to your ear?,Is dat wat er met uw oor gebeurd is?,SAY.Dialog:HardKick_Public.100.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Jump to line 99, 101, or 103.",What happened next?,En wat gebeurde er dan?,SAY.Dialog:HardKick_Public.33.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Jump to line 99, 101, or 103.",Oh right. I've heard this story before.,Ah juist. Dit verhaal heb ik al gehoord.,SAY.Dialog:HardKick_Public.62.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation between Hard and Kick, while Foal is inside the tunnels.",It sounds like someone's in pain...,’t Klinkt alsof iemand pijn heeft...,SAY.Dialog:TunnelHardKickPrivate.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Conversation with Slow Ass.,"Will you watch me play Rocks, Uncle Slow?","Wil je kijken naar mijn Stenen-spel, Oom Sloom?",SAY.Dialog:Slow.10.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Really?,Echt?,SAY.Dialog:SturdySmart_Public.18.{$NewName}
{$NewName},E3,E3_Mine1F_localization,"Private conversation between Sturdy and Smart, while Foal is inside the tunnels.",Are Comrade Mother and Aunty Smart arguing?,Zijn Kameraad-Moeder en Tante Betje aan ’t bekvechten?,SAY.Dialog:TunnelSturdySmartPrivate.23.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Dialogue at end of scene.,Whoa.,Amai.,SAY.Dialog:MineCartRunsAway.9.{$NewName}
{$NewName},E3,E3_Mine1F_localization,,Huh?,Huh?,SAY.Dialog:EnableLight.1.{$NewName}
{$NewName},E3,E3_Mine1F_localization,Player can now exit to the next area.,Hey a light? That's never happened before...,"Hé, een licht? Da’s nog nooit gebeurd…",SAY.Dialog:EnableLight.7.{$NewName}
{$NewName},E3,E3_100_localization,The Foal attempts to touch the Elevator.,Comrade Mother told me not to touch the Machines...,Kameraad Moeder heeft gezegd dat ik de Machines niet mag aanraken...,SAY.Dialog:Lift100.1.{$NewName}
{$NewName},E3,E3_100_localization,The Foal attempts to touch the Elevator.,I shouldn't touch the Machines... but what does it do?,k Mag de Machines niet aanraken... maar wat doet dat ding?,SAY.Dialog:Lift200.1.{$NewName}
{$NewName},E3,E3_100_localization,The Foal attempts to walk back to the Mine 1F.,"Nah, I don't want to go back yet.","Nee, 'k wil nog niet teruggaan.",SAY.Dialog:I don't want to go back yet.1.{$NewName}
{$NewName},E3,E3_100_localization,The Foal says this after closing the newpaper.,Booooorrrrrring!,Saaaaaaaaai!,SAY.Dialog:Boring.1.{$NewName}
{$NewName},E3,E3_100_localization,The floor collapses and the Foal falls through to Lazy's Grave.,AH!,AH!,SAY.Dialog:Boring.6.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Who's there?,Wie is daar?,SAY.Dialog:MeetingLazy.30.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,LAZY?! I've heard so much about you!,LUIE ZAK?! 'k Heb zoveel over u gehoord!,SAY.Dialog:MeetingLazy.33.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,(I'm your sister),I’m your... wait...,Ik ben uw... wacht...,SAY.Dialog:MeetingLazy.55.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,(Aren't you dead?),Aren't you...,Zijt gij nie...,SAY.Dialog:MeetingLazy.56.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Wait up!,Wacht eens!,SAY.Dialog:MeetingLazy.35.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,Lazy floats away and the Foal chases after her.,I’m your sister!,Ik ben uw zus!,SAY.Dialog:MeetingLazy.58.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,The Foal comes across a pile of bones.,Are these... bones?,Zijn dit... beenderen?,SAY.Dialog:ExamineBones.1.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Woah. Did it hurt?,Amai. Deed dat zeer?,SAY.Dialog:ExamineBones.38.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Why didn't your Ass Soul go to the Astral Plane?,Waarom is uw Ezelenziel nie naar het Astrale Hiernamaals gegaan?,SAY.Dialog:ExamineBones.51.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,Comrade Mother told me that's where we all go when we die.,Kameraad Moeder heeft gezegd dat we daar allemaal naartoe gaan als we doodgaan.,SAY.Dialog:ExamineBones.88.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,I could try to sing the Song of Ascension for you now!,Ik kan het ezelenhemelvaartszangderzielen voor u proberen zingen!,SAY.Dialog:ExamineBones.87.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,There's no way out?! I don't want to die here!,Geen uitweg?! Ik wil hier nie doodgaan!,SAY.Dialog:ExamineBones.41.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,The Foal chases after her.,Wha-wait! Come back!!,Wa-wacht! Kom terug!!,SAY.Dialog:ExamineBones.82.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,"It was really nice to finally meet you, sister.","'t Was echt fijn om u eindelijk te ontmoeten, zus.",SAY.Dialog:Leaving.91.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,"What do you mean "" Boredom is Freedom""?","Wat bedoelt ge met ""Verveling is Vrijheid""?",SAY.Dialog:Leaving.96.{$NewName}
{$NewName},E3,E3_LazysGrave_localization,,No. It was {$Number} seconds of my life I'll never get back.,Nee. 't Was {$Number} seconden van mijn leven die ik nooit terugkrijg.,SAY.Dialog:Leaving.95.{$NewName}
{$NewName},E3,E3_200_localization,This dialogue is said as the Foal looks at a picture of the Mine Asses.,Everyone looks so serious.,Iedereen ziet er zo serieus uit.,SAY.Dialog:FamilyPhoto.1.{$NewName}
{$NewName},E3,E3_200_localization,The Foal headbutts and turns the Boring Machine on.,Cool!,Cool!,SAY.Dialog:StartMachine.3.{$NewName}
{$NewName},E3,E3_200_localization,The Boring Machine starts moving and drilling through walls.,Uh oh!,Oei oei!,SAY.Dialog:StartMachine.5.{$NewName}
{$NewName},E3,E3_300_localization,The Foal spots the Elevator from across a chasm.,Hey! That looks like a shortcut!,Hey! Dat ziet er uit als een kortere weg!,SAY.Dialog:ElevatorSpotted.2.{$NewName}
{$NewName},E3,E3_300_localization,The Foal stands in front of the Elevator and considers using it.,Well the other two Machines weren't that bad...,"Awel, die andere twee Machines waren niet zo erg...",SAY.Dialog:CantBeThatBad.2.{$NewName}
{$NewName},E3,E3_300_localization,"Dialogue option 1.1.
If the Foal uses the Elevator to get to the bottom of the Mine.
The Foal can now go through the entrance to the Bad Cave at the bottom of the Mine.",That was fun!,Dat was plezant!,SAY.Dialog:ThatWasFun.1.{$NewName}
{$NewName},E3,E3_300_localization,"Dialogue option 1.2.
If the Foal does NOT use the Elevator to get to the bottom of the Mine.
The Foal can now go through the entrance to the Bad Cave at the bottom of the Mine.",Oh well. I'll just take the long way!,Ach ja. 'k Neem gewoon de lange weg!,SAY.Dialog:LongWay.3.{$NewName}
{$NewName},E3,E3_BadCave_localization,Go to line 7,Who's there? Quit hiding!,Wie is daar? Stop met verstoppen!,SAY.Dialog:PreDonkeyBas.126.{$NewName}
{$NewName},E3,E3_BadCave_localization,Go to line 7,Lazy? Is that you?,Luie? Zijt gij dat?,SAY.Dialog:PreDonkeyBas.127.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Uncle Bad Ass?!,Nonkel Waaghalske?!,SAY.Dialog:PreDonkeyBas.26.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Is this where you've been?,Is het hier dat ge zit?,SAY.Dialog:PreDonkeyBas.28.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"Wait, what are all these Machines?","Wacht, wat zijn al die Machines?",SAY.Dialog:PreDonkeyBas.27.{$NewName}
{$NewName},E3,E3_BadCave_localization,,WAIT!!,WACHT!!,SAY.Dialog:PreDonkeyBas.83.{$NewName}
{$NewName},E3,E3_BadCave_localization,,ARE YOU ON FIRE?,STAAT GE IN BRAND?,SAY.Dialog:PreDonkeyBas.84.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Where did they come from?,Van waar komen die?,SAY.Dialog:PreDonkeyBas.30.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Comrade Mother always says Machines are evil...,Kameraad Moeder zegt altijd dat Machines slecht zijn...,SAY.Dialog:PreDonkeyBas.33.{$NewName}
{$NewName},E3,E3_BadCave_localization,,But I'm not so sure.,Maar 'k ben daar nie zo zeker van.,SAY.Dialog:PreDonkeyBas.87.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Woah...,Amai...,SAY.Dialog:PreDonkeyBas.41.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"So what can Computers do, if you... know how to use them?","Dus wat kunnen Computers doen, als ge... weet hoe ze te gebruiken?",SAY.Dialog:PreDonkeyBas.57.{$NewName}
{$NewName},E3,E3_BadCave_localization,,GAMES!,SPELLEKES!,SAY.Dialog:PreDonkeyBas.60.{$NewName}
{$NewName},E3,E3_BadCave_localization,,I love love LOVE games!,'k Vind spellekes SUPER SUPER TOF!,SAY.Dialog:PreDonkeyBas.93.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Can we play together?,Kunnen we samen spelen?,SAY.Dialog:PreDonkeyBas.61.{$NewName}
{$NewName},E3,E3_BadCave_localization,We are back in the Bad Caves and the Foal and Bad Ass are talking.,That was WAY BETTER THAN ROCKS!,Dat was VEEL BETER DAN STENEN!,SAY.Dialog:PostDonkeyBas.25.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Machines are FUN!,Machines zijn PLEZANT!,SAY.Dialog:PostDonkeyBas.88.{$NewName}
{$NewName},E3,E3_BadCave_localization,,What other GAMES CAN WE PLAY?!,Welke andere SPELLEKES KUNNEN WE SPELEN?!,SAY.Dialog:PostDonkeyBas.87.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Why is the Herd afraid of Machines?,Waarom is de Kudde bang van Machines?,SAY.Dialog:PostDonkeyBas.38.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"So... Is that why you don't spend more time with the Herd, Uncle Bad Ass?","Dus... Is dat waarom ge niet meer met de Kudde hangt, Nonkel Waaghalske?",SAY.Dialog:PostDonkeyBas.92.{$NewName}
{$NewName},E3,E3_BadCave_localization,,"Well, I'm not an Ass, I'm a Foal!","Awel, ik ben geen Ezel, ik ben een Veulen!",SAY.Dialog:PostDonkeyBas.36.{$NewName}
{$NewName},E3,E3_BadCave_localization,,Can I... stay down here with you?,Mag ik... hier beneden bij u blijven?,SAY.Dialog:PostDonkeyBas.93.{$NewName}
{$NewName},E6,E6_BattleHard_localization,NPC Dialogue on entrance to the fight.,"Uncle Hard, everyone says you're a two-faced liar!","Oom Bikkel, iedereen zegt dat je een achterbakse leugenaar bent!",SAY.DialogMaster.44.{$NewName}
{$NewName},E6,E6_World_localization,,Hi Uncle Hard! How many Humans have you killed today?,Hoi Oom Bikkelhard! Hoeveel Mensen heb je vandaag gedood?,SAY.Dialog:PostNightmare.20.{$NewName}
{$NewName},E6,E6_World_localization,,Ugh! It's just a QUESTION.,Ugh! Het is maar een VRAAG.,SAY.Dialog:PostNightmare.25.{$NewName}
{$NewName},E6,E6_World_localization,,Yeesh.,Tjee.,SAY.Dialog:PostNightmare.26.{$NewName}
{$NewName},E6,E6_World_localization,,"Uncle Hard, Comrade Mother and I are spending 'quality time' together, wanna come?","Oom Bikkel, Kameraad Moeder en ik brengen 'quality time' samen door, wil je meedoen?",SAY.Dialog:PostNightmare.27.{$NewName}
{$NewName},E6,E6_World_localization,,When will Aunty Smart and the others decide to come home?,Wanneer komen Tante Slimme en de anderen naar huis?,SAY.Dialog:PostNightmare.67.{$NewName}
{$NewName},E6,E6_World_localization,,...,...,SAY.Dialog:PostNightmare.76.{$NewName}
{$NewName},E6,E6_World_localization,,Can we head back to the Old Village now?,Kunnen we nu terug naar het Oude Dorp?,SAY.Dialog:PostNightmare.77.{$NewName}
{$NewName},E6,E6_World_localization,"After this line, the Foal and Sturdy explore the map in search of the Theatre.",You promised to show me where the Old Theatre is.,Je had beloofd me te laten zien waar het Oude Theater is.,SAY.Dialog:PostNightmare.78.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,"Let's go, let's go, let's go!","Kom op, kom op, kom op!",SAY.Dialog:FoalFollow.26.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,Is this what it was like on the day of the protest?,Is dit hoe het was op de dag van het Protest?,SAY.Dialog:FoalFollow.27.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,The sun is so bright!,De zon is zo fel!,SAY.Dialog:FoalFollow.28.{$NewName}
{$NewName},E6,E6_World_localization,,It's a good thing I have my helmet.,Het is maar goed dat ik mijn helm heb.,SAY.Dialog:FoalFollow.30.{$NewName}
{$NewName},E6,E6_World_localization,Randomized dialogue for when Sturdy tries to talk to the Foal.,WAHOO! There are so many cool rocks out here!,WAHOO! Er liggen hier zoveel coole stenen!,SAY.Dialog:FoalFollow.29.{$NewName}
{$NewName},E6,E6_World_localization,,"Ugh. Whatever, Comrade Mother.","Ugh. Maakt niet uit, Kameraad Moeder.",SAY.Dialog:ShortWayLongWay.57.{$NewName}
{$NewName},E6,E6_World_localization,"After this, Sturdy chooses which way to go.","I don't care which way we go, as long we get to the Old Village!","Mij maakt het niet uit welke weg we nemen, als we maar bij het Oude Dorp komen!",SAY.Dialog:ShortWayLongWay.58.{$NewName}
{$NewName},E6,E6_World_localization,,—which one's the 'Theatre'?,—welke is het 'Theater'?,SAY.Dialog:SturdyArrivesAtVillage.398.{$NewName}
{$NewName},E6,E6_World_localization,,Everyone is interested in Theatre!,Iedereen is geïnteresseerd in Theater!,SAY.Dialog:SturdyArrivesAtVillage.400.{$NewName}
{$NewName},E6,E6_World_localization,,—which one's the 'Theatre'?,—welke is het 'Theater'?,SAY.Dialog:SturdyArrivesAtVillage.420.{$NewName}
{$NewName},E6,E6_World_localization,,Everyone is interested in Theatre!,Iedereen is geïnteresseerd in Theater!,SAY.Dialog:SturdyArrivesAtVillage.422.{$NewName}
{$NewName},E6,E6_World_localization,Dialogue that plays when Sturdy tries to backtrack / leave Bumpkin too early.,Mother! Where are you going?!,Moeder! Waar ga je heen?!,SAY.Dialog:AttemptToBacktrack_STARTOFF.4.{$NewName}
{$NewName},E6,E6_World_localization,,You promised to show me the Theatre!,Je had beloofd me het Theater te laten zien!,SAY.Dialog:AttemptToBacktrack_STARTOFF.5.{$NewName}
{$NewName},E6,E6_World_localization,,Huh? You never told me that.,Hè? Dat heb je me nooit verteld.,SAY.Dialog:EnterTheTheatre.6.{$NewName}
{$NewName},E6,E6_World_localization,,Can I go inside?,Mag ik naar binnen?,SAY.Dialog:EnterTheTheatre.50.{$NewName}
{$NewName},E6,E6_World_localization,,I can totally fit and I'll be super safe.,Ik pas er makkelijk door en ik zal super veilig zijn.,SAY.Dialog:EnterTheTheatre.113.{$NewName}
{$NewName},E6,E6_World_localization,,I just want to look inside.,Ik wil alleen even naar binnen kijken.,SAY.Dialog:EnterTheTheatre.117.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x or y.,Please?,Alsjeblieft?,SAY.Dialog:EnterTheTheatre.121.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x or y.,—WAHOO! You're the best!,—WAHOE! Je bent de beste!,SAY.Dialog:EnterTheTheatre.81.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line y.,Pleeeeeaaaaaaaaase?,Alsjebliiiiiiiiieeeeeft?,SAY.Dialog:EnterTheTheatre.56.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x.,I'm FINE MOTHER!,Ik ben GESTELD MOEDER!,SAY.Dialog:EnterTheTheatre.103.{$NewName}
{$NewName},E6,E6_World_localization,"Dialogue options (2.1 and 2.2) converge. 
The Foal exits the Theatre.",Told ya I'd be safe!,Zei toch dat ik veilig zou zijn!,SAY.Dialog:EnterTheTheatre.78.{$NewName}
{$NewName},E6,E6_World_localization,,Ohh... I just remembered I promised Uncle Bad Ass we'd play Rocks!,Ohh... ik herinner me net dat ik Oom Stoere Ezel beloofd heb dat we Stenen-spel zouden spelen!,SAY.Dialog:EnterTheTheatre.79.{$NewName}
{$NewName},E6,E6_World_localization,,I gotta go.,Ik moet gaan.,SAY.Dialog:EnterTheTheatre.90.{$NewName}
{$NewName},E6,E6_World_localization,The Foal runs away and exits the scene.,"Love you, bye!","Hou van je, doei!",SAY.Dialog:EnterTheTheatre.91.{$NewName}
{$NewName},E6,E6_World_localization,Jump to line x or y.,COME ON!,KOM OP!,SAY.Dialog:EnterTheTheatre.59.{$NewName}
{$NewName},E6,E6_World_localization,,UGH YOU NEVER LET ME DO ANYTHING FUN!,UGH JE LAAT ME NOOIT IETS LEUKS DOEN!,SAY.Dialog:EnterTheTheatre.62.{$NewName}
{$NewName},E6,E6_World_localization,The Foal runs away and exits the scene. Jump back to line z.,I'M OUTTA HERE.,IK BEN WEG HIER.,SAY.Dialog:EnterTheTheatre.123.{$NewName}
{$NewName},E6,E6_MineLift_localization,This is said if Sturdy didn't let the Foal go into the Theatre and she didn't get the light.,Stupid Comrade Mother not letting me go in the stupid Theatre.,Stomme Kameraad Moeder die me niet in dat stomme Theater liet gaan.,SAY.Dialog:MineMonologue.1.{$NewName}
{$NewName},E6,E6_MineLift_localization,This is said if Sturdy didn't let the Foal go into the Theatre and she didn't get the light.,Uncle Bad Ass is going to be so disappointed in me that I didn't get the super important light he wanted.,Oom Stoere Ezel gaat zo teleurgesteld in me zijn dat ik het superbelangrijke licht niet heb gekregen dat hij wilde.,SAY.Dialog:MineMonologue.5.{$NewName}
{$NewName},E6,E6_MineLift_localization,This is said if Sturdy didn't let the Foal go into the Theatre and she didn't get the light.,I gotta find something to replace that super important light he needs...,Ik moet iets vinden om dat superbelangrijke licht dat hij nodig heeft te vervangen...,SAY.Dialog:GottaFindTheThingy.2.{$NewName}
{$NewName},E6,E6_BadCave_localization,,Comrade Mother wouldn't leave...,Kameraad Moeder wilde niet weggaan...,SAY.Dialog:PreComputer.7.{$NewName}
{$NewName},E6,E6_BadCave_localization,,She kept talking about how she used to be a star.,Ze bleef maar praten over hoe ze vroeger een ster was.,SAY.Dialog:PreComputer.34.{$NewName}
